RegionName,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
10025,4397.5,4325.0,4500.0,4400.0,4487.5,4475.0,4300.0,4295.0,4250.0,4295.0,4424.5,4498.0,4325.0,4496.0,4325.0,4495.0,4496.5,4400.0,4498.0,4449.0,4300.0,4200.0,4333.0,4300.0,4195.0,4208.5,4538.0,4500.0,4500.0,4400.0,4370.0,4299.5,4300.0,4395.0,4300.0,4350.0
10023,,,,,,8000.0,7842.0,7557.5,7631.5,7700.0,6995.0,6500.0,6690.0,6995.0,6900.0,6947.5,6999.0,6995.0,6999.0,7288.0,6995.0,6895.0,6999.5,7000.0,6997.0,6997.0,6947.5,6947.5,6947.5,6900.0,6600.0,6947.5,6850.0,6500.0,7047.5,6747.5
10002,4850.0,4500.0,4500.0,4695.0,4500.0,4497.5,4493.5,4495.0,4495.0,4500.0,4525.0,4400.0,4200.0,4450.0,4472.5,4500.0,4500.0,4695.0,4725.0,4747.5,4583.0,4695.0,4650.0,4500.0,4500.0,4800.0,4575.0,4500.0,4497.5,4536.5,4589.0,4697.5,4700.0,4800.0,4852.5,4800.0
10016,5500.0,5500.0,5746.0,5500.0,5995.0,5997.5,5722.5,5745.5,5745.0,5750.0,5795.0,5765.0,5722.5,5569.0,5700.0,5745.5,5746.0,5745.0,5746.0,5787.5,5695.0,5595.0,5746.0,5750.5,5595.0,5482.5,5430.0,5400.0,5500.0,5325.0,5400.0,5745.5,5800.0,5900.0,5900.0,5862.5
10029,3450.0,3495.0,3400.0,3425.0,3350.0,3300.0,3400.0,3472.5,3450.0,3464.0,3450.0,3250.0,3250.0,3012.5,3240.0,3300.0,3295.0,3297.5,3425.0,3500.0,3600.0,3600.0,3600.0,3495.0,3495.0,3495.0,3400.0,3450.0,3425.0,3400.0,3300.0,3550.0,3599.5,3595.0,3400.0,3295.0
10009,4250.0,4250.0,4172.5,4350.0,4300.0,4495.0,4500.0,4500.0,4495.0,4500.0,4495.0,4497.5,4350.0,4200.0,4200.0,4295.0,4231.0,4300.0,4495.0,4500.0,4564.5,4632.0,4615.0,4450.0,4471.0,4397.5,4350.0,4350.0,4400.0,4450.0,4481.0,4500.0,4695.0,4650.0,4649.0,4495.0
10011,5697.5,5295.0,5400.0,5800.0,5700.0,5378.5,5700.0,6200.0,6000.0,6000.0,5972.5,5900.0,5800.0,5555.0,5800.0,5650.0,5995.0,5800.0,5595.0,6095.0,5922.5,5795.0,5897.5,5750.0,5995.0,5897.5,5775.0,6075.0,6075.0,5740.0,5800.0,5958.0,6000.0,6300.0,6297.5,6422.5
10128,4250.0,4547.5,4295.0,4269.0,4500.0,4597.5,4495.0,4597.5,4300.0,4400.0,4400.0,4630.0,4575.0,4500.0,4900.0,4500.0,4500.0,4500.0,4350.0,4300.0,4495.0,4400.0,4400.0,4380.0,4125.0,4200.0,4200.0,4225.0,4300.0,4347.5,4200.0,4400.0,4250.0,4300.0,5025.0,4975.0
10003,4873.5,4898.5,4900.0,5000.0,5000.0,5150.0,5150.0,5000.0,4995.0,5125.0,5200.0,5150.0,5150.0,4995.0,5000.0,4997.5,4995.0,5150.0,5300.0,5200.0,5197.5,5200.0,5200.0,5200.0,4922.5,4950.0,4995.0,4995.0,4995.0,5000.0,5195.0,5300.0,5295.0,5195.0,5400.0,5500.0
10019,5150.0,5200.0,5395.0,5395.0,5500.0,5395.0,5300.0,5300.0,5400.0,5454.0,5647.5,5597.5,5447.5,5262.0,5395.0,4900.0,4800.0,4800.0,5186.5,4995.0,5123.0,5399.5,5308.5,5300.0,5171.5,5447.5,5795.0,5500.0,5395.0,4997.5,5036.5,5073.0,4995.0,5300.0,5537.5,5460.0
