RegionName,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
10033,2000.0,2050.0,2089.0,2162.5,2200.0,2292.0,2300.0,2275.0,2300.0,2300.0,2292.0,2283.0,2300.0,2250.0,2200.0,2152.0,2150.0,2200.0,2292.0,2250.0,2200.0,2292.0,2300.0,2250.0,2300.0,2272.5,2235.0,2200.0,2170.5,2297.5,2250.0,2345.0,2347.5,2295.0,2321.5,2400.0
10010,4300.0,4300.0,4250.0,4400.0,4486.0,4300.0,4354.0,4300.0,4250.0,4495.0,4475.0,4695.0,4541.5,4400.0,4333.0,4400.0,4370.0,4295.0,4000.0,3997.0,3895.0,4019.5,3931.0,4300.0,4303.0,4250.0,4325.0,4360.5,4300.0,4125.0,4197.5,4000.0,4000.0,4000.0,4099.5,4300.0
10022,4308.0,4354.0,4047.5,4450.0,4308.0,4351.5,4095.0,4250.0,4250.0,3900.0,3900.0,4000.0,3997.5,3995.0,4100.0,4095.0,3997.5,3925.0,4300.0,3950.0,3997.0,3900.0,3972.5,3850.0,3962.5,3900.0,3997.5,4100.0,4295.0,4308.0,4595.0,4025.0,4110.0,4295.0,4295.0,4295.0
10040,1850.0,1850.0,1805.0,1895.0,1895.0,1950.0,1975.0,2000.0,2195.0,2185.0,2108.0,2095.0,1950.0,2112.5,1995.0,2000.0,2017.0,2075.0,2000.0,2100.0,2000.0,2091.5,2200.0,2195.0,2125.0,2050.0,2000.0,1960.0,2000.0,1900.0,2025.0,2150.0,2150.0,2150.0,2150.0,2197.5
10001,4995.0,5100.0,4995.0,5000.0,5000.0,4995.0,5451.0,5360.0,5092.5,5500.0,5694.0,5695.0,5516.5,5133.5,4815.0,5167.0,5475.0,5450.0,5500.0,5617.5,5496.0,5475.0,5337.5,5556.0,5650.0,5575.0,5800.0,5882.5,5700.0,5395.0,6070.0,5903.0,6257.5,6461.0,6315.0,6307.0
10034,,,,2050.0,2062.0,2150.0,2100.0,2100.0,2099.0,2074.0,2100.0,2100.0,2075.0,2085.0,1995.0,2100.0,2125.0,2100.0,2200.0,2197.5,2197.5,2197.5,2200.0,2225.0,2195.0,2175.0,2095.0,2100.0,2125.0,2195.0,2270.0,2200.0,2195.0,2199.0,2175.0,2250.0
10026,2772.5,2800.0,2678.0,2772.5,2785.0,2800.0,2800.0,2750.0,2762.0,2950.0,2895.0,2795.0,2949.0,2865.5,2836.5,2865.5,2950.0,2865.5,2850.0,2795.0,2795.0,2795.0,2895.0,2895.0,2897.0,2895.0,2895.0,2847.5,2800.0,2850.0,2857.0,2895.0,2891.0,2935.0,2950.0,2970.0
10013,4950.0,4695.0,4995.0,4995.0,4995.0,5195.0,5195.0,5095.0,4995.0,5147.5,4995.0,4995.0,4895.0,4895.0,4895.0,4895.0,4900.0,5075.0,4972.5,4895.0,4972.5,4972.5,4950.0,4995.0,4995.0,4900.0,4905.0,4950.0,4908.5,4900.0,5012.5,5225.0,5400.0,5200.0,5000.0,4972.5
10035,2500.0,2325.0,2300.0,2472.5,2300.0,2400.0,2400.0,2450.0,2412.5,2399.5,2450.0,2389.0,2497.0,2400.0,2420.0,2395.0,2445.0,2500.0,2500.0,2500.0,2497.0,2500.0,2487.0,2500.0,2500.0,2496.5,2500.0,2525.0,2537.5,2550.0,2600.0,2500.0,2500.0,2450.0,2395.0,2495.0
10075,3210.0,3218.5,3250.0,3300.0,3300.0,3000.0,3250.0,3098.0,3200.0,3250.0,3300.0,3250.0,3100.0,3150.0,3022.0,3097.5,3100.0,3300.0,3300.0,3300.0,3300.0,3200.0,3495.0,3300.0,3495.0,3295.0,3300.0,3300.0,3075.0,3195.0,3300.0,3200.0,3300.0,3300.0,3550.0,3500.0
