RegionName,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
10035,1700.0,1709.0,1700.0,1700.0,1995.0,1895.0,1872.5,1872.5,1925.0,2081.5,1950.0,1850.0,1895.0,1810.0,1837.5,1718.5,1855.0,1795.0,1772.5,1850.0,1845.0,1995.0,1995.0,2012.5,1993.0,1872.5,1822.5,1993.0,1777.0,1749.0,1850.0,1800.0,1700.0,1772.5,1800.0,1850.0
10075,1995.0,2000.0,1995.0,1925.0,1962.5,2000.0,1999.0,2052.5,2150.0,2100.0,2075.0,2025.0,2000.0,2000.0,2000.0,1950.0,1973.5,1999.5,2000.0,2000.0,2075.0,2087.5,2050.0,2062.5,2050.0,2050.0,2075.0,2050.0,2050.0,2187.5,2100.0,2199.0,2185.0,2095.0,2172.5,2200.0
10012,2890.0,2870.0,2500.0,2725.0,2772.5,2712.5,2750.0,2700.0,2697.5,2725.0,2842.0,2995.0,2850.0,2780.5,2762.0,2750.0,2800.0,2890.0,2950.0,3000.0,2895.0,2895.0,2900.0,2892.5,2950.0,2890.0,2772.5,2890.0,2800.0,2825.0,2850.0,2995.0,2895.0,2892.5,2800.0,2950.0
10038,2895.0,2895.0,2750.0,2750.0,2775.0,2775.0,2775.0,2949.0,2950.0,2992.5,2995.0,3005.0,2949.5,2907.5,2950.0,2850.0,2950.0,2950.0,2965.0,2950.0,3000.0,3129.0,3142.0,3131.5,3080.0,3000.0,3000.0,2999.5,3138.0,3091.5,3087.0,3185.0,3192.5,3260.0,3200.0,3150.0
10017,2500.0,2500.0,2300.0,2500.0,2500.0,2599.0,2600.0,2650.0,2699.5,2600.0,2588.5,2600.0,2550.0,2500.0,2499.0,2500.0,2550.0,2585.0,2575.0,2585.0,2600.0,2650.0,2597.5,2500.0,2580.0,2500.0,2462.5,2500.0,2500.0,2500.0,2585.0,2625.0,2600.0,2695.0,2650.0,2600.0
10018,2770.0,2872.5,2795.0,2782.5,2770.0,2795.0,2815.0,2800.0,2780.0,2762.5,2897.0,2825.0,2855.0,2833.0,2750.0,2755.0,2755.0,2795.0,2850.0,2755.0,2847.5,2850.0,2970.0,2995.0,3000.0,2955.0,2990.0,3002.5,3177.5,3295.0,3373.0,3050.0,3119.5,3160.0,3195.0,3294.5
10005,3095.0,3017.5,2999.0,2995.0,3100.0,3070.0,2995.0,3100.0,3150.0,3193.0,3162.0,3141.0,3141.0,3096.0,3129.5,3154.0,3203.5,3142.0,3097.0,3199.0,3250.0,3257.0,3334.0,3298.0,3274.5,3200.0,3200.0,3195.0,3200.0,3261.0,3348.5,3429.0,3437.0,3369.5,3315.0,3269.5
10280,3405.0,3485.0,3325.0,3400.0,3395.0,3362.5,3275.0,3375.0,3500.0,3495.0,3485.0,3337.5,3270.0,3200.0,3220.0,3400.0,3400.0,3300.0,3325.0,3400.0,3400.0,3385.0,3500.0,3650.0,3497.5,3495.0,3462.5,3475.0,3495.0,3400.0,3495.0,3495.0,3550.0,3650.0,3500.0,3525.0
10006,2925.0,2950.0,2950.0,2895.0,2980.0,2995.0,2995.0,2890.0,2900.0,2995.0,3047.5,2995.0,2950.0,2885.0,2912.5,2847.5,3048.0,3000.0,3048.5,3085.0,2972.5,3040.0,3020.0,3122.5,3020.0,3000.0,3055.0,3055.0,3047.5,3020.0,3057.0,3195.0,3195.0,3250.0,3350.0,3350.0
10004,,,,2900.0,3300.0,2980.5,2995.0,3000.0,2983.0,2900.0,2850.0,3225.0,3375.0,3475.0,3450.0,3500.0,3325.0,2972.0,2825.0,3300.0,3250.0,3050.0,3138.0,3100.0,2875.0,2802.0,2795.0,2861.0,3000.0,3075.0,3231.0,3155.0,3046.0,3000.0,2932.0,2807.5
